row_id,counterparty_id,S_lp,R_hp,P_energy,vector_norm,t_diff,rank
59,79,38320.588629223035,10455.176321350831,66062035.227921106,66062047.16956109,30.0,1
21,30,33470.911648443245,10257.338119948185,58213556.27059873,58213566.79662462,30.0,2
54,74,15794.986350632767,9871.894283821886,11931513.295856135,11931527.834484663,30.0,3
49,66,13212.023540281203,10152.089064811207,5067878.127138445,5067905.517470377,30.0,4
35,47,2576.4410686160995,11549.603408756115,3973356.392578977,3973374.0138370693,30.0,5
17,22,9903.12983438158,9718.684596634253,3955412.12870271,3955436.4655116517,30.0,6
45,60,2485.2332945562657,11176.584661924093,3740859.1579981777,3740876.679657867,30.0,7
38,50,2450.45713076655,11034.834506636602,3648457.2788623786,3648474.7892779266,30.0,8
18,25,2230.8632914929076,10713.986931911335,3641156.470938089,3641172.917086103,30.0,9
47,63,9871.186262375624,9557.872837586674,3630368.1132336617,3630394.1150838076,30.0,10
9,10,3382.7754028765344,10774.393556086074,3475435.904002193,3475454.251396998,30.0,11
2,2,2390.38550391991,10763.59628514267,3456222.2952708732,3456239.8821950005,30.0,12
52,70,2355.093919965526,10631.535225205427,3381324.8012469667,3381342.335158695,30.0,13
3,3,2355.0984940376984,10621.616747248061,3372762.483075412,3372780.0302528273,30.0,14
25,34,3527.94943960018,11208.75089927953,3337721.823134862,3337742.508216396,30.0,15
23,32,3885.6807377627083,10921.74296533547,3291329.555885937,3291349.9705185588,30.0,16
28,37,2320.2436748438477,10471.542889956623,3277233.620789693,3277251.1716338634,30.0,17
19,26,2277.417275600127,10286.168523109716,3161573.6515660537,3161591.2047842373,30.0,18
51,69,2257.7504213427023,10203.682954539276,3121628.4189078216,3121645.9117452367,30.0,19
6,7,2248.1405722011377,10154.149672295607,3083354.308366972,3083371.847801813,30.0,20
4,4,2244.6294578227244,10140.900039837681,3074925.5671773916,3074943.10839993,30.0,21
13,17,3240.502103398736,10343.086546744096,2875616.718294887,2875637.1451958693,30.0,22
48,65,3429.428861912084,10917.784476100343,2773229.094106927,2773252.7052905424,30.0,23
46,61,3404.495388839581,10843.624016520076,2737587.905308528,2737611.498014683,30.0,24
42,54,3383.5161065522843,10786.445595111563,2710096.2659043814,2710119.843486389,30.0,25
30,41,3140.288865640024,10040.53079736824,2695423.393932559,2695443.923778005,30.0,26
14,18,3354.1182897618605,10692.75296193051,2670349.246592953,2670372.7612179834,30.0,27
20,29,3292.484284136194,10500.339576117636,2565395.531892729,2565419.133911485,30.0,28
16,21,4201.5220245085475,11206.000792168188,2554664.6416597925,2554692.6739997184,30.0,29
0,0,3194.0224836244693,10211.57081121967,2431443.921787347,2431467.4628204866,30.0,30
44,59,3191.041586496816,10194.260906819982,2421610.4000546816,2421633.9598202775,30.0,31
5,5,4035.0457036400317,8822.699588885376,2241646.2528378065,2241667.246600986,30.0,32
31,42,4130.302283095262,10742.776410655832,2164836.2148194364,2164866.80967576,30.0,33
22,31,3828.8257544172916,9967.072587134142,2126200.5802796506,2126227.3890682855,30.0,34
41,53,4051.3393522405377,10554.72279510733,2099839.5347238337,2099869.9690964282,30.0,35
15,20,4037.101198560592,10512.311044624932,2082650.7028222599,2082681.1462236939,30.0,36
36,48,5347.867544229917,10966.902387794245,2064411.3959722216,2064447.4525778638,30.0,37
10,11,4110.687227663737,8892.232556111094,1990370.438240854,1990394.54655915,30.0,38
39,51,4798.97258716503,10934.002009400972,1988612.15719633,1988648.0066333697,30.0,39
8,9,3537.665697690124,6800.054162460928,1949057.369957129,1949072.4427787187,30.0,40
7,8,3502.889578377992,5293.734756716801,1927002.878882125,1927013.333914187,30.0,41
32,43,4706.508868617401,10615.173684016421,1915830.1099014597,1915865.2987992426,30.0,42
58,78,4498.65226167196,9348.627383390673,1678694.7298249106,1678726.7885656839,30.0,43
53,73,4048.228023305301,8318.838628852267,1659493.257389476,1659519.0455512693,30.0,44
37,49,15375.107983931517,10686.916364763878,1641394.8423782275,1641501.639570534,30.0,45
26,35,4544.862617908657,10268.305742901703,1620042.410895825,1620081.3272734804,30.0,46
57,77,8912.287784433445,10517.87707196467,1580674.1778172823,1580734.294886397,30.0,47
11,14,5317.098915362771,10799.667494534473,1564104.4609880554,1564150.782131187,30.0,48
50,67,6131.282701827093,10791.346828049054,1473827.327255092,1473879.5867905293,30.0,49
24,33,5359.893561524149,10804.300829329146,1472782.7216414076,1472832.103989071,30.0,50
43,58,5317.732969268824,10719.670806897788,1449995.2818057467,1450044.6568589078,30.0,51
1,1,5142.472587430374,9241.241785633614,1430844.070288348,1430883.1535290992,30.0,52
27,36,5803.871647880822,10681.551808621127,1184414.9015515335,1184477.2853425574,30.0,53
40,52,5656.0393241756055,10426.11856162132,1131187.2696173084,1131249.4568720725,30.0,54
34,46,8319.183413131588,10208.380620131293,1081568.3295199794,1081648.4970951448,30.0,55
29,38,7415.887807593011,11315.175218687185,999939.7051103895,1000031.2207318614,30.0,56
55,75,7432.453957932874,10774.218878201586,827815.644693094,827919.1184910004,30.0,57
12,16,6742.719002180071,10742.131042854475,802349.0122331163,802449.2476601505,30.0,58
56,76,8153.664025750095,10634.084011721496,373424.8548034657,373665.2086625173,30.0,59
33,45,9460.081519659254,10793.808469085268,231826.965315742,232270.83607532855,30.0,60
